,LOCATION,Year,Rail KM (mil),Bus KM (mil),Rail Infrastructure Investment,Population,Country,Satisfaction,Rail Investment per capita
598,LTU,2012,403.0,2387.0,141171917.31226,2987773.0,Lithuania,53.0,47.24988053384912
599,LTU,2013,391.0,2521.0,140859107.06324,2957689.0,Lithuania,47.0,47.624718847465026
600,LTU,2014,373.0,2672.0,264238310.16379,2932366.0,Lithuania,59.0,90.11095823774725
601,LTU,2015,361.0,2457.0,180000000.0,2904908.0,Lithuania,55.0,61.964096625435296
602,LTU,2016,396.0,2361.0,68887902.700608,2868234.0,Lithuania,57.0,24.017532286629333
603,LTU,2017,424.0,2474.0,46255065.569227,2828398.0,Lithuania,56.0,16.353803661729007
604,LTU,2018,468.0,2583.0,59386947.897304,2801541.0,Lithuania,44.0,21.197957801547076
605,LTU,2019,479.0,2646.0,76322074.582513,2794135.0,Lithuania,43.0,27.31509915680989
606,LTU,2020,260.0,1486.0,152693380.25361,2794890.0,Lithuania,51.0,54.63305541671049
613,RUS,2006,177838.0,135590.0,4525328344.4469,142487259.0,Russian Federation,58.0,31.759529772742
614,RUS,2007,174085.0,149542.0,4996812048.6697,142114903.0,Russian Federation,54.0,35.16036631759654
615,RUS,2008,175872.0,151774.0,7645672932.3824,141956413.0,Russian Federation,59.0,53.85929927929638
616,RUS,2009,151467.0,141191.0,6574507837.8178,141909248.0,Russian Federation,57.0,46.32895974346788
617,RUS,2010,138885.0,140333.0,7544624982.9718,142389969.0,Russian Federation,61.0,52.98564945239787
618,RUS,2011,139742.0,138284.0,7631354776.5817,142960911.0,Russian Federation,56.0,53.380708916870994
619,RUS,2012,144612.0,132968.0,7750775502.448,143201721.0,Russian Federation,54.0,54.12487677049636
620,RUS,2013,138517.0,126042.0,6936948031.7328,143506995.0,Russian Federation,59.0,48.33874496314831
621,RUS,2014,130027.0,127090.0,5262114061.1157,143819657.0,Russian Federation,62.0,36.58828126057691
622,RUS,2015,120644.0,126271.0,5022319784.8168,146406004.0,Russian Federation,58.0,34.30405616983304
623,RUS,2016,124620.0,123977.0,5154006479.5875,146674542.0,Russian Federation,59.0,35.139066461768806
624,RUS,2017,123096.0,122943.0,3245676701.8986,146842404.0,Russian Federation,63.0,22.103129705630536
625,RUS,2018,129542.0,122152.0,3954297447.2337,146830572.0,Russian Federation,60.0,26.931022561389327
626,RUS,2019,133589.0,121942.0,5729565864.3712,146764661.0,Russian Federation,63.0,39.039138068606306
627,RUS,2020,78573.9,88220.2,5128452494.6252,146459803.0,Russian Federation,66.0,35.016109468788514
634,CZE,2006,6922.0,9501.0,530858383.10053,10266646.0,Czech Republic,56.0,51.70708945263429
635,CZE,2007,6900.0,9519.0,657925446.9157,10322689.0,Czech Republic,62.0,63.735858642617245
637,CZE,2009,6503.0,9494.0,711851522.07896,10491492.0,Czech Republic,64.0,67.85036123355572
638,CZE,2010,6591.0,10816.0,517030807.33051,10517247.0,Czech Republic,66.0,49.16027999822673
639,CZE,2011,6714.0,9267.0,401995711.67775,10496672.0,Czech Republic,65.0,38.29744434023946
640,CZE,2012,7265.0,9015.0,353882089.92242,10509286.0,Czech Republic,62.0,33.67327617903062
641,CZE,2013,7601.0,9026.0,324422224.25437,10510719.0,Czech Republic,60.0,30.865845072479814
642,CZE,2014,7797.0,10010.0,464609671.51906,10524783.0,Czech Republic,64.0,44.14434687338067
643,CZE,2015,8298.112592,9995.9,1164925783.3975,10542942.0,Czech Republic,71.0,110.49342616107535
644,CZE,2016,8843.373268,10257.1,667377686.61543,10565284.0,Czech Republic,70.0,63.16703712038692
645,CZE,2017,9497.566454,11177.8,531927624.1221,10589526.0,Czech Republic,70.0,50.23148572675491
646,CZE,2018,10286.019,10950.4,659529600.56863,10626430.0,Czech Republic,71.0,62.065020949522086
648,CZE,2020,6665.141,5444.0,952904526.2965,10700155.0,Czech Republic,78.0,89.05520773264499
