,id,Country,Year,Population,indexreg,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stuntihme,sdg2_wasteihme,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_fplmodel,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_cpi,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_sprofits,sdg17_statperf
1526,DEU,Germany,2008,81065751.0,OECD,,,9.0,2.5,,,19.2,2.428,7.119,0.469,6.0,2.4,4.4,5.9,0.04,13.31,5.78,,9.8,98.5,96.0,,6.5,5.6,25.8,,93.42,97.47,,,23.917,,,,88.0,,79.203,32.19,16.738,100.0,99.223,99.88,96.295,100.0,100.0,1.272,8.116,,,,2.12,70.1,11.645,78.0,16.777,,1.541,2.615,7.411,67.62,41.116,,31.1,1.02,10.7,0.0,,99.39,59.0,,,,,0.633,10.546,,,74.313,,73.53,13.822,14.598,77.147,76.765,0.982,,1.03,18.583,,,,,,91.029,12.154,0.38,,,
1549,GHA,Ghana,2008,23563832.0,Sub-Saharan Africa,,,,8.2,,,8.0,2.088,1.598,0.818,342.0,31.2,75.3,191.0,1.1,25.75,23.88,,,54.7,86.0,,5.0,,,,73.859,83.633,63.369,,,,,,32.3,,91.568,7.895,,72.373,13.008,,,60.5,13.1,1.022,54.01,,4.992,,0.057,,,4.27,,,0.023,,,,,,,,,,,61.488,60.0,,,,,,0.379,,,19.56,,36.66,9.977,19.919,68.875,80.512,0.839,,1.82,,,,,,,,7.518,,15.694,,
1572,GRC,Greece,2008,11040312.0,OECD,,,12.9,2.5,,,21.6,2.377,4.516,0.59,3.0,2.1,4.0,6.1,0.08,13.59,15.51,,11.3,99.97,99.0,,,2.5,19.0,39.7,,,,,28.455,,,,55.1,,66.105,14.667,,99.872,98.368,99.303,82.496,100.0,100.0,1.516,5.764,,,,1.666,61.425,15.984,38.2,,,1.387,0.662,,1.458,54.546,41.891,33.6,1.26,13.3,0.0,,99.945,,,,,,1.037,10.065,,,77.701,,27.677,37.076,15.032,75.09,81.638,0.842,,1.3,27.42,,,,,,106.301,9.732,0.21,,,
1595,GRD,Grenada,2008,105457.0,LAC,,,,,,,17.1,2.416,1.006,0.983,30.0,8.3,14.7,5.5,,21.27,11.38,,,,99.0,,,,,,98.661,99.803,90.791,,,,,,72.8,,,13.333,,95.166,91.971,,,90.0,93.1,1.332,,,,,,,,23.18,,,0.74,,,,,,,,,,,,,,,,,,2.397,,,0.117,,,,7.178,34.45,,0.699,,15.17,,,,,,,,5.89,,,,
1618,GTM,Guatemala,2008,14006420.0,LAC,,,,17.9,,,16.8,2.211,2.011,0.997,125.0,17.3,37.8,29.0,0.17,15.51,16.63,,,,95.0,,6.4,,,,78.338,95.453,49.172,,,,,,60.5,,48.619,12.025,,89.551,64.649,,,81.921,37.2,1.173,65.443,,3.309,,0.134,,,8.3,,,0.007,0.062,,,,,,,,,,90.48,67.0,,,,,,0.778,,,38.61,,30.69,,6.973,25.195,24.813,0.734,,44.92,,,,,,,,5.291,,12.053,,
1641,GIN,Guinea,2008,9738796.0,Sub-Saharan Africa,,,,,,,5.4,2.083,1.465,0.828,754.0,35.8,123.3,195.0,0.91,25.08,30.7,,,,55.0,,,,,,22.959,66.597,,,,,,,24.7,,95.125,,,60.897,15.924,,,25.15,0.7,2.068,,,4.725,,0.039,,,0.92,,,0.003,,,,,,,,,,,65.994,,,,,,,0.205,,,69.281,,7.86,22.373,12.891,69.791,90.419,0.892,,,67.23,,,,,,,1.851,,,,
1664,GNB,Guinea-Bissau,2008,1446936.0,Sub-Saharan Africa,,,,,,,6.6,2.11,1.49,0.959,827.0,47.5,126.1,361.0,2.54,29.21,31.12,,,,71.0,,,,,,,,,,,,,,47.1,,80.667,10.0,,57.835,9.788,,,9.323,1.1,7.567,,,5.892,,,,,2.355,,,0.013,,,,,,,,,,,45.413,,,,,,,0.157,,,39.073,,10.09,,,47.897,,0.919,,,,,,,,,,7.46,,,,
1687,GUY,Guyana,2008,746815.0,LAC,,,,7.6,,,15.8,2.356,4.162,0.704,192.0,23.6,39.0,109.0,0.71,34.04,23.03,,,96.0,93.0,,,,,,84.397,98.111,70.758,,,,,,57.0,,49.912,30.0,,91.691,82.46,,,79.121,55.7,2.407,,,11.271,,20.689,,,18.2,,,0.029,,,,,,,,,,,82.902,,,,,,,2.286,,,,,10.63,,17.415,0.0,,0.878,,21.16,40.151,,,,,,,4.086,,,,
1710,HTI,Haiti,2008,9646570.0,LAC,,,,51.4,,,16.2,2.112,0.961,0.98,484.0,29.0,83.2,248.0,0.99,33.75,18.43,,,,62.0,,3.8,,,,,,,,,,,,41.1,,85.032,4.082,,61.23,25.086,,,36.093,3.4,4.831,84.025,,16.336,,0.02,,,7.6,0.0,,0.003,,,,,,,,,,,45.087,31.0,,,,,,0.183,,,0.0,,1.92,,,13.823,0.0,0.741,,5.16,,,,,,,,1.914,,,,
1733,_HIC,High-income Countries,2008,,,,,,2.665,,,20.794,2.41,6.089,0.531,9.81499958,3.156,5.814,15.002,0.595,13.917,10.373,,19.87,99.228,92.98500061,,6.761,,,,92.718,98.602,98.417,,,,,,73.973,,74.994,19.644,,99.193,99.169,,,99.971,100.0,1.317,7.005,,,,1.852,,,69.109,,,1.429,2.198,,,,,35.472,,,0.031,,98.978,55.078,,,,,,12.618,,,51.385,,41.802,25.389,11.541,52.359,53.075,0.876,,2.456,23.81,,,,,,,10.463,0.279,,,
1756,HND,Honduras,2008,7980955.0,LAC,,,,20.8,,,16.7,2.336,1.681,1.065,76.0,13.7,25.5,44.0,0.1,17.1,16.07,,,,93.0,,5.4,,,,60.655,87.563,,,,,,,72.0,,49.466,23.438,,89.642,71.907,,,76.397,41.1,1.243,46.178,,3.16,,0.212,,,9.6,,,0.005,,,,,,55.5,,,,,94.495,65.0,,,,,,1.057,,,24.973,,42.24,,2.891,68.575,99.447,0.761,,55.82,,,,,,,,5.936,,22.743,,
1779,HUN,Hungary,2008,9991867.0,OECD,,,5.9,2.5,,,22.6,2.378,5.8,0.341,14.0,3.6,6.5,16.0,1.0,25.27,12.28,,20.0,99.5,99.0,,4.9,5.5,12.1,,99.049,98.042,,,23.961,,,,76.0,,73.521,11.14,2.221,99.968,98.016,92.361,71.354,100.0,100.0,1.421,7.416,,,,0.547,56.4,16.268,61.0,3.657,,0.877,0.979,4.565,3.126,65.108,28.607,27.5,0.84,2.5,0.0,,97.895,59.0,,,,,1.053,5.729,,,,,,,,80.897,84.495,0.864,,1.81,29.526,,,,,,147.55,9.781,0.08,,,
1802,ISL,Iceland,2008,310855.0,OECD,,,6.6,2.5,,,18.9,2.553,,0.75,5.0,1.4,2.9,2.2,0.04,10.16,4.5,,14.5,98.7,96.0,,6.9,11.1,15.5,17.6,96.799,99.238,96.806,,32.486,,,,,,87.317,33.333,,100.0,98.787,94.555,58.415,100.0,100.0,0.137,86.799,,,,2.896,83.575,6.218,91.0,15.711,,2.619,2.487,12.87,17.693,30.517,35.081,31.8,1.18,6.9,0.0,,100.0,58.0,,,,,1.481,12.261,,,10.61,,64.61,19.511,2.789,15.343,35.853,0.876,,0.0,10.0,,,,,,45.037,13.896,0.36,,,
1825,IND,India,2008,1200669762.0,East & South Asia,,,,16.6,,,2.5,2.208,2.638,0.907,240.0,34.3,64.6,261.0,0.1,23.35,17.15,,41.6,52.3,70.0,,5.1,,,,,96.842,68.096,,,,,,70.5,,35.16,9.057,,84.676,36.803,,,71.651,32.4,1.804,26.97,,5.414,,0.127,,,4.38,,,0.047,0.859,,,,,,,,,,70.774,68.0,,,,,,1.218,,,19.177,,2.217,43.067,4.327,17.601,16.617,0.719,,3.83,67.037,,,,,,,3.938,,12.76,,
1848,IDN,Indonesia,2008,235469755.0,East & South Asia,,,,17.4,,,4.3,2.164,4.694,0.723,239.0,18.7,36.7,349.0,0.2,26.24,13.55,,,74.86,76.0,,4.8,,,,,96.093,74.927,99.46,,,,,78.6,,61.049,11.636,,82.702,56.385,,,92.73,28.5,2.793,35.868,,7.21,,0.168,,,7.917,,,0.006,,,,,,35.2,,,,,35.077,63.0,,,,,,1.556,,,8.254,,18.011,36.777,4.981,14.0,29.221,0.808,,,,,,,,,,3.8,,19.788,,
1871,IRN,"Iran, Islamic Rep.",2008,72120608.0,MENA,,,,5.4,,,20.9,2.152,1.721,0.818,28.0,14.0,21.7,16.0,0.1,16.55,33.4,,,,98.0,,5.1,,,,,,87.445,97.871,,,,,72.3,,21.898,2.797,,95.701,83.922,,,98.851,96.2,2.526,0.521,,10.63,,0.245,,,12.02,,,0.272,0.646,,,,,,,,,,98.862,61.0,,,,,,7.413,,,67.998,,35.303,3.263,3.836,43.6,36.658,0.877,,,,,,,,,,5.875,,26.436,,
1894,IRQ,Iraq,2008,28385739.0,MENA,,,,24.9,,,25.9,2.138,1.404,0.785,90.0,21.0,37.1,47.0,1.0,26.94,21.07,,,,69.0,,4.6,,,,,,,,,,,,53.0,,16.853,25.455,,87.958,79.765,,,97.961,92.5,2.658,1.21,,8.484,,0.149,,,1.0,,,0.015,0.034,,,,,,,,,,90.42,43.0,,,,,,3.234,,,0.0,,,7.244,1.457,2.823,2.088,0.828,,,48.446,,,,,,,,,,,
1917,IRL,Ireland,2008,4415871.0,OECD,,,9.1,2.5,,,20.4,2.407,7.645,0.017,7.0,2.5,4.4,11.0,0.07,13.01,6.52,,16.5,99.8,89.0,,7.6,,18.9,,,99.926,97.791,,45.065,,,,86.4,,75.552,13.253,,97.288,90.348,95.239,66.799,100.0,100.0,1.454,3.868,,,,2.201,69.65,12.793,65.34,,,1.955,1.388,6.811,18.986,,,30.9,1.06,9.0,0.0,,96.996,49.0,,,,,1.302,10.726,,,66.5,,36.98,12.99,12.626,68.621,98.558,0.918,,1.15,17.135,,,,,,78.897,12.674,0.59,,,
1940,ISR,Israel,2008,7020832.0,OECD,,,,2.5,,,23.6,2.401,2.439,0.869,4.0,2.4,4.9,5.3,1.0,10.98,5.93,,13.7,,94.0,,7.3,2.8,12.4,18.7,99.233,99.889,97.066,,42.285,,,,65.8,,80.55,14.167,22.059,100.0,100.0,99.817,85.881,100.0,100.0,1.274,4.754,,,,0.835,59.827,27.539,59.39,,,2.237,4.342,,52.575,50.34,,,,,0.0,,100.0,64.0,,,,,,9.683,,,12.713,,,53.877,26.152,14.768,20.893,0.724,,1.71,35.846,,,,,,312.0,9.795,0.07,,,
1963,ITA,Italy,2008,58922116.0,OECD,,,11.9,2.5,,,17.5,2.413,5.353,0.603,2.0,2.5,4.1,8.1,0.08,10.91,8.87,,7.2,99.8,90.0,,6.8,2.6,17.4,22.4,99.485,99.404,99.281,,19.905,,,,64.9,,64.035,21.27,,99.763,99.886,96.058,95.682,100.0,100.0,1.446,10.849,,,,1.245,58.65,19.15,44.53,13.728,,1.219,1.16,3.776,12.893,,39.729,33.8,1.19,13.3,0.0,,,46.0,,,,,1.095,8.128,,,63.015,,60.869,54.282,10.365,67.559,84.042,0.902,,1.04,50.761,,,,,,100.614,11.016,0.22,,,
1986,JAM,Jamaica,2008,2781869.0,LAC,,,,9.0,,,20.0,2.341,1.294,1.086,79.0,13.6,18.9,4.7,0.7,17.53,12.35,,,98.3,88.0,,,,,,96.315,,,,,,,,77.9,,77.858,13.333,,91.975,84.234,,,92.0,85.2,2.628,6.751,,10.59,,0.31,,,23.6,,,0.106,,,,,,,,,,,93.581,,,,,,,3.875,,,26.598,,48.39,,0.402,21.915,27.767,0.685,,58.2,,,,,,,,9.143,,27.691,,
2009,JPN,Japan,2008,128538644.0,OECD,,,,2.5,,,3.0,2.415,6.262,0.598,6.0,1.2,3.4,22.0,0.01,9.73,5.52,,5.0,99.8,95.0,,5.9,,,21.8,,,,,55.061,,,,64.5,,66.584,9.375,30.694,98.65,99.972,98.043,76.516,100.0,100.0,1.187,3.381,,,,1.698,70.873,11.346,75.4,,,0.916,3.337,9.888,130.87,,,34.8,,,0.0,,,60.0,,,,,0.827,9.587,,,60.648,,34.339,19.631,11.164,61.116,64.061,0.804,,0.51,10.723,,,,,,59.812,9.999,0.19,,,
2032,JOR,Jordan,2008,6556473.0,MENA,,,,6.5,,,30.8,2.293,1.145,0.869,55.0,12.5,21.3,6.8,0.0,18.6,21.92,,32.4,,95.0,,4.9,,,,60.053,86.68,82.679,,,,,,58.7,,26.187,6.364,,99.006,97.987,,,100.0,99.9,1.476,1.714,,12.7,,0.555,,,23.0,0.0,,0.278,0.429,,,,,32.6,,,,,94.141,55.0,,,,,,3.16,,,,,,,,6.801,17.79,0.966,,1.83,43.846,,,,,,,10.081,,25.0,,
2055,KAZ,Kazakhstan,2008,15862126.0,E. Europe & C. Asia,,,,4.3,,,17.1,2.403,1.011,0.814,30.0,15.3,24.7,158.0,0.11,33.27,29.23,,31.0,99.3,99.0,,5.9,,,,98.782,99.886,95.565,,,,,,74.2,,87.61,15.888,,92.974,97.258,,,100.0,91.4,3.216,1.018,,6.63,,0.308,,,11.0,,,0.023,0.217,,,,,28.5,,,,,92.133,53.0,,,,,,14.416,,,,,,,,10.252,9.014,0.874,,11.39,16.671,,,,,,,4.856,,,,
2078,KEN,Kenya,2008,39791984.0,Sub-Saharan Africa,,,,26.6,,,4.9,2.23,1.418,0.861,513.0,25.1,63.5,564.0,2.26,22.71,25.91,,,,88.0,,4.0,,,,42.454,86.564,,,,,,,56.6,,93.284,9.821,,53.223,31.628,,,30.303,6.0,1.376,83.547,,2.916,,0.577,,,5.2,,,0.031,,,,,,,,,,,74.253,38.0,,,,,,0.249,,,43.1,,27.33,,3.398,32.883,31.743,0.833,,3.05,40.548,,,,,,,8.688,,,,
2101,KIR,Kiribati,2008,98760.0,Oceania,,,,6.2,,,40.9,2.327,,0.912,115.0,25.7,65.6,424.0,,53.73,2.03,,51.0,65.0,72.0,,,,,,,,,,,,,,38.8,,,4.348,,67.556,39.266,,,69.909,2.5,3.07,,,,,,,,7.0,,,,,,,,,,,,,,50.271,,,,,,,0.668,,,32.922,,6.777,,0.515,40.0,,0.81,,7.09,,,,,,,,22.488,,,,
2124,PRK,"Korea, Dem. Rep.",2008,24310143.0,East & South Asia,,,,39.7,,,5.2,2.1,3.555,0.505,118.0,17.1,31.8,513.0,1.0,25.14,23.68,,0.7,,92.0,,,,,,,,,100.0,,,,,74.2,,89.905,20.087,,97.749,76.614,,,,4.9,3.033,,,2.773,,0.022,,,0.0,,,0.001,,,,,,,,,,,86.954,,,,,,,2.893,,,0.0,,35.72,22.251,0.472,0.0,0.0,0.931,,,,,,,,,,,,,,
2147,KOR,"Korea, Rep.",2008,49182458.0,OECD,,,,2.5,,,3.7,2.283,6.63,0.634,15.0,1.9,4.5,88.0,1.0,11.65,14.98,,1.7,,92.0,,5.4,3.9,14.5,26.3,,99.979,,99.954,57.842,,,,79.1,,68.622,13.712,39.037,98.831,99.995,97.371,86.009,100.0,100.0,1.165,0.6,,,,1.163,63.956,,81.0,71.845,,1.019,2.989,9.932,37.17,13.916,26.051,32.3,,,0.0,,,69.0,,,,,0.426,10.858,,,31.994,,18.12,34.688,13.344,33.374,36.78,0.734,,0.87,32.875,,,,,,97.527,6.46,0.09,,,
2170,KWT,Kuwait,2008,2656010.0,MENA,,,,2.5,,,33.5,2.375,9.236,0.535,10.0,5.7,10.9,38.0,1.0,16.22,28.46,,12.9,98.7,99.0,,,,,,85.534,98.591,94.988,98.643,,,,,63.0,,56.997,3.077,,100.0,100.0,,,100.0,100.0,1.768,0.0,,1.75,,9.506,,,42.0,,,0.41,0.086,,,,,,,,,,,,,,,,,30.985,,,13.025,,,,84.408,30.958,,0.878,,1.43,,,,,,,,5.262,,,,
2193,KGZ,Kyrgyz Republic,2008,5254969.0,E. Europe & C. Asia,,,,9.8,,,12.5,2.323,2.38,0.576,81.0,18.5,33.7,148.0,0.13,30.61,21.81,,28.7,98.5,95.0,,4.7,,,,52.434,95.884,83.986,,,,,,66.0,,69.789,25.556,,84.201,94.567,,,99.51,68.7,0.608,27.671,,8.22,,0.159,,,15.7,,,0.019,0.19,,,,,31.5,,,,,85.662,60.0,,,,,,1.436,,,,,,,,23.602,35.403,0.986,,7.94,19.548,,,,,,,8.809,,,,
2216,LAO,Lao PDR,2008,6046630.0,East & South Asia,,,,18.3,,,3.1,2.109,4.016,0.518,336.0,30.7,75.4,240.0,0.17,29.36,14.11,,,,52.0,,5.0,,,,25.021,87.673,44.506,,,,,,57.4,,96.208,25.217,,63.876,51.171,,,66.0,2.9,0.532,81.146,,0.968,,0.062,,,3.55,,,0.017,,,,,,,,,,,52.264,76.0,,,,,,0.352,,,,,,,,44.042,29.869,0.819,,,,,,,,,,2.792,,,,
2239,_LAC,Latin America and the Caribbean,2008,,,,,,8.872,,,18.998,2.32,3.469,0.658,92.40299988,12.365,22.927,54.749,0.246,17.439,21.177,,,90.054,91.85199738,,6.134,,,,88.104,97.757,75.808,,,,,,69.411,,68.019,17.073,,93.073,78.752,,,93.819,83.726,1.198,36.795,,6.523,,0.218,,,27.323,,,0.144,,,,,,,,,,,92.93,53.06,,,,,,2.567,,,45.912,,21.994,,18.638,37.67,36.296,0.848,,23.749,,,,,,,,7.987,,,,
2262,LVA,Latvia,2008,2171248.0,OECD,,,19.1,2.5,,,21.3,2.433,3.104,0.625,29.0,4.8,8.8,55.0,1.0,27.2,18.51,,17.9,99.1,94.0,,5.1,3.9,37.6,28.1,98.481,99.991,,,28.82,,,,77.0,,79.034,20.0,,98.163,89.563,93.253,57.888,100.0,100.0,1.514,30.031,,,,0.66,68.225,11.966,63.41,10.903,,0.407,0.58,4.142,1.094,70.851,34.879,37.2,1.62,37.4,0.0,,95.332,61.0,,,,,0.888,3.776,,,77.685,,5.39,0.059,12.717,92.155,96.713,0.989,,,26.604,,,,,,301.578,8.76,0.07,,,
2285,LBN,Lebanon,2008,4764745.0,MENA,,,,9.4,,,27.7,2.235,2.688,0.84,23.0,6.6,11.4,13.0,0.03,20.63,14.82,,,,79.0,,4.6,,,,,,,,,,,,57.7,,32.148,4.688,,88.729,84.779,,,99.9,,1.201,3.646,,7.672,,0.738,,,22.53,,,0.242,,,,,,,,,,,,62.0,,,,,,3.656,,,0.795,,,9.032,2.367,11.419,21.062,0.932,,3.84,,,,,,,,5.09,,21.617,,
2308,LSO,Lesotho,2008,1987130.0,Sub-Saharan Africa,,,,12.3,,,13.2,2.104,0.39,1.019,623.0,41.4,113.0,1240.0,13.8,42.53,27.63,,96.0,,80.0,,,,,,,86.581,33.866,,,,,,65.3,,80.421,25.0,,68.445,26.167,,,16.018,28.5,3.647,,,28.76,,0.197,,,3.58,,,0.017,,,,,,,,,,,86.361,,,,,,,1.069,,,,,,,,16.489,,0.942,,37.84,21.049,,,,,,,16.699,,44.973,,
2331,LBR,Liberia,2008,3607863.0,Sub-Saharan Africa,,,,32.9,,,7.4,2.06,1.553,1.001,738.0,34.5,108.2,282.0,0.79,19.7,33.86,,,,75.0,,4.2,,,,,43.791,36.609,,,,,,30.4,,86.363,12.5,,68.296,15.659,,,1.3,0.4,1.996,,,2.233,,0.023,,,0.53,0.0,,0.002,,,,,,,,,,,17.517,9.0,,,,,,0.148,,,96.655,,14.68,,,15.787,24.344,0.901,,4.91,,,,,,,,3.07,,,,
2354,LBY,Libya,2008,6058740.0,MENA,,,,,,,27.6,,0.622,1.029,52.0,10.1,18.8,40.0,0.09,18.84,21.06,,,99.8,98.0,,,,,,,,,,,,,,32.8,,55.01,7.692,,91.192,91.224,,,85.105,,1.856,3.307,,19.375,,0.172,,,9.0,,,0.038,,,,,,,,,,,,,,,,,,8.845,,,0.0,,17.05,19.688,10.241,0.0,,0.968,,,,,,,,,,4.047,,,,
2377,LIE,Liechtenstein,2008,35469.0,E. Europe & C. Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,95.789,99.218,100.495,,,,,,,,,24.0,,100.0,99.95,,,100.0,,,,,,,1.932,,,70.0,,,2.481,,,,,,,,,,,,,,,,,,6.188,,,,,,,,80.801,,0.991,,2.82,10.256,,,,,,,,0.52,,,
2400,LTU,Lithuania,2008,3212867.0,OECD,,,14.6,2.5,,,23.8,2.466,3.348,0.37,13.0,3.4,7.3,75.0,1.0,25.16,18.27,,19.3,100.0,96.0,,5.6,3.09,30.4,,98.73,99.88,,,41.594,,,,65.4,,81.235,17.73,,93.336,88.511,78.506,83.297,100.0,100.0,1.212,10.718,,,,0.802,64.4,,55.22,3.607,,0.926,0.788,5.913,0.84,71.115,35.149,35.7,1.48,19.1,0.0,,96.421,45.0,,,,,1.068,4.732,,,54.024,,,0.397,9.953,87.608,95.165,0.989,,9.28,12.225,,,,,,248.999,9.292,0.11,,,
2423,_LIC,Low-income Countries,2008,,,,,,30.517,,,5.42,2.155,1.286,0.8,590.5839844,33.501,97.579,234.216,1.11,25.885,27.078,,,,67.37999725,,4.364,,,,,77.218,30.965,,,,,,34.168,,73.712,17.958,,47.753,25.425,,,25.693,11.198,2.236,,,5.837,,0.039,,,2.52,,,0.007,,,,,,,,,,,66.508,37.4,,,,,,0.425,,,,,,,,31.288,27.024,0.882,,,,,,,,,,4.496,,,,
2446,_LMIC,Lower-middle-income Countries,2008,,,,,,15.057,,,5.857,2.203,2.937,0.826,274.6300049,29.765,62.754,264.111,0.408,24.249,18.433,,,,75.08000183,,4.916,,,,,92.854,64.178,,,,,,64.22,,49.189,11.52,,81.984,46.977,,,71.724,34.881,2.02,35.323,,5.203,,0.123,,,6.725,,,0.043,,,,,,,,,,,64.189,63.041,,,,,,1.385,,,23.34,,11.482,,4.878,28.767,27.736,0.789,,3.954,,,,,,,,4.383,,,,
2469,LUX,Luxembourg,2008,485403.0,OECD,,,,2.5,,,19.2,2.381,6.106,0.723,6.0,1.6,3.0,6.6,1.0,12.24,7.42,,8.7,,96.0,,7.0,0.0,16.9,20.0,93.153,98.157,94.978,,38.728,,,,,,74.929,23.333,,100.0,97.653,99.766,91.136,100.0,100.0,4.7,3.163,,,,7.83,63.425,8.479,82.23,,,1.267,1.623,6.545,41.271,42.005,18.571,32.6,,,0.0,,100.0,77.0,,,,,1.04,23.04,,,,,,,,77.351,37.131,0.984,,1.65,43.963,,,,,,156.983,9.287,0.97,,,
2492,MDG,Madagascar,2008,19996476.0,Sub-Saharan Africa,,,,30.4,,,3.5,2.136,2.811,0.688,491.0,25.5,74.8,248.0,0.09,27.93,25.48,,,,70.0,,4.6,,,,,,24.829,,,,,,47.2,,94.35,7.874,,42.652,7.498,,,16.393,1.0,1.469,,,3.582,,0.061,,,1.65,,,0.01,0.118,,,,,,,,,,62.614,39.0,,,,,,0.089,,,10.793,,3.08,0.786,3.298,23.094,45.866,0.791,,,,,,,,,,3.948,,11.681,,
2515,MWI,Malawi,2008,13727899.0,Sub-Saharan Africa,,,,19.0,,,4.0,2.048,1.599,0.79,493.0,28.8,94.5,371.0,4.78,27.6,31.32,,157.0,68.0,88.0,,,,,,,97.839,19.531,,,,,,54.7,,89.836,12.953,,60.521,23.281,,,7.902,2.2,0.575,,,5.861,,0.115,,,0.7,,,0.021,,,,,,,,,,,79.77,,,,,,,0.079,,,,,,,,70.772,25.843,0.807,,5.68,,,,,,,,5.141,,,,
2538,MYS,Malaysia,2008,27236003.0,East & South Asia,,,,3.6,,,10.9,2.422,3.599,0.696,29.0,4.1,8.1,72.0,0.2,19.68,24.71,,13.1,98.6,95.0,,5.8,,,,81.364,95.068,86.505,,,,,,49.3,,56.445,10.811,,96.99,98.465,,,,98.0,2.026,2.224,,3.32,,1.117,,,55.8,1.418,,0.285,0.788,,,,,45.5,,,,,98.623,74.0,,,,,,7.416,,,13.712,,18.106,28.639,0.663,28.506,50.008,0.755,,2.19,,,,,,,,5.556,,20.754,,
2561,MDV,Maldives,2008,343448.0,East & South Asia,,,,,,,5.2,2.521,2.079,1.291,72.0,9.0,16.1,44.0,1.0,18.02,2.06,,14.2,98.3,97.0,,,,,,,99.58,103.624,,,,,,43.9,,55.688,12.0,,96.628,85.333,,,93.597,89.2,3.181,,,11.056,,1.227,,,23.2,,,0.026,,,,,,,,,,,86.534,,,,,,,2.454,,,0.0,,12.61,,,0.0,,0.894,,1.46,,,,,,,,10.868,,23.72,,
2584,MLI,Mali,2008,14113578.0,Sub-Saharan Africa,,,,9.4,,,5.9,2.295,1.398,0.786,661.0,40.8,140.2,65.0,0.67,23.87,23.96,,111.9,,71.0,,4.1,,,,,,30.545,,,,,,23.8,,74.937,10.204,,62.753,26.42,,,23.446,0.9,1.56,,,10.494,,0.036,,,1.57,,,0.01,,,,,,,,,,,69.133,20.0,,,,,,0.139,,,,,,,,8.056,0.0,0.982,,,,,,,,,,4.12,,13.84,,
2607,MLT,Malta,2008,409493.0,E. Europe & C. Asia,,,,2.5,,,26.1,2.357,4.714,0.839,8.0,4.5,6.8,13.0,1.0,12.42,4.32,,18.6,99.9,72.0,,6.3,,,,,,96.949,,,,,,69.1,,50.031,8.696,,100.0,99.965,,,100.0,100.0,1.178,0.103,,5.98,,1.684,,,50.08,11.198,,0.635,0.533,,,,,29.0,,,,,100.0,50.0,,,,,,6.709,,,54.672,,37.21,93.641,31.884,75.324,,0.872,,1.47,27.946,,,,,,,10.593,,,,
2630,MHL,Marshall Islands,2008,56166.0,Oceania,,,,,,,48.4,,,1.348,,18.1,39.8,278.0,,,,,,,86.0,,,,,,,,96.183,,,,,,,,,3.03,,87.888,81.163,,,80.309,45.6,,,,,,,,,4.6,,,0.036,,,,,,,,,,,27.082,,,,,,,,,,6.686,,8.94,,,8.043,,0.881,,,,,,,,,,17.373,,20.964,,
2653,MRT,Mauritania,2008,3296237.0,Sub-Saharan Africa,,,,7.3,,,9.5,2.403,0.766,0.996,819.0,39.3,101.1,151.0,1.0,16.62,26.27,,,,65.0,,4.2,,,,,73.023,,,,,,,22.8,,43.081,22.105,,54.18,28.538,,,30.0,40.7,3.364,,,9.871,,0.124,,,1.87,,,0.006,,,,,,35.7,,,,,54.356,33.0,,,,,,0.538,,,37.241,,7.78,56.525,45.342,11.172,0.0,0.978,,,,,,,,,,2.846,,,,
