,id,Country,Year,Population,indexreg,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stuntihme,sdg2_wasteihme,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_fplmodel,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_cpi,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_sprofits,sdg17_statperf
767,TCD,Chad,2008,11183589.0,Sub-Saharan Africa,,,,40.1,,,4.3,2.144,0.775,0.841,1310.0,38.6,155.7,149.0,0.79,24.48,24.96,,,,19.0,,4.6,,,,,,,,,,,,,,72.91,5.161,,42.091,10.174,,,5.923,2.5,7.66,,,0.942,,0.011,,,1.19,,,0.002,,,,,,,,,,,53.711,35.0,,,,,,0.083,,,,,,,,67.313,61.379,0.917,,,,,,,,,,2.49,,,,
790,CHL,Chile,2008,16708255.0,OECD,,,,3.4,,,24.2,2.347,5.844,0.759,21.0,5.3,8.9,17.0,0.14,12.91,14.29,,56.5,99.8,95.0,,5.8,2.8,,,84.991,97.37,,99.154,,,,,,,60.267,15.0,,97.847,96.17,95.54,59.597,98.386,100.0,1.212,24.493,,,,0.347,57.265,,37.3,,,0.346,0.375,0.911,0.541,,22.821,,,,0.0,,99.251,53.0,,,,,,4.237,,,22.186,,,0.834,0.939,29.471,34.699,0.806,,3.52,21.376,,,,,,320.446,6.726,,,,
813,CHN,China,2008,1353569480.0,East & South Asia,,,,4.0,,,3.9,2.199,5.549,0.709,40.0,10.2,18.5,82.0,1.0,19.62,20.51,,5.3,99.1,97.0,,4.8,,,,,,101.715,,,,,,,,82.278,21.326,,87.06,71.933,,,98.945,50.9,2.114,9.485,,4.59,,0.071,,,22.6,0.0,,0.191,1.446,,,,,43.0,,,,,89.152,66.0,,,,,,5.539,,,6.133,,18.36,41.743,1.587,8.425,6.877,0.776,,1.09,,,,,,,,3.624,,11.077,,
836,COL,Colombia,2008,44254972.0,OECD,,,,11.3,,,18.7,2.304,3.658,1.052,84.0,10.6,19.5,32.0,0.19,12.14,18.01,,83.5,98.1,92.0,,6.2,15.77,,17.1,84.299,99.894,82.617,97.989,,,,,,,63.616,8.434,1.74,94.223,82.445,71.261,16.473,96.807,85.0,1.148,25.9,,,,0.193,60.511,,25.6,0.354,,0.078,0.201,,0.057,50.294,,55.3,,,,,95.468,73.0,,,,,,1.506,,,53.634,,35.562,,10.236,32.961,29.299,0.752,,36.47,34.149,,,,,,159.171,8.684,,21.901,,
859,COM,Comoros,2008,657227.0,Sub-Saharan Africa,,,,,,,5.7,,1.285,0.867,370.0,38.0,89.5,34.0,0.02,21.96,26.78,,,,76.0,,,,,,,,,,,,,,29.6,,61.478,3.03,,85.036,33.779,,,58.012,2.4,2.465,,,5.977,,,,,3.0,,,0.003,,,,,,,,,,,75.607,,,,,,,0.167,,,0.0,,0.0,,,8.333,100.0,0.801,,,,,,,,,,4.856,,,,
882,COD,"Congo, Dem. Rep.",2008,60411195.0,Sub-Saharan Africa,,,,38.7,,,4.6,,0.772,0.899,565.0,33.8,122.3,327.0,0.6,26.8,35.75,,,,64.0,,,,,,,,,,,,,,16.3,,93.76,8.4,,38.39,20.571,,,11.596,2.9,0.34,97.207,,3.547,,0.048,,,0.44,,,0.0,0.083,,,,,,,,,,61.974,,,,,,,0.03,,,,,,,,50.302,47.024,0.881,,,,,,,,,,,,,,
905,COG,"Congo, Rep.",2008,4011487.0,Sub-Saharan Africa,,,,35.5,,,7.1,2.136,0.771,0.89,552.0,23.7,69.0,403.0,1.89,28.3,25.93,,,,69.0,,3.8,,,,,,43.211,,,,,,30.8,,97.006,7.299,,63.77,15.032,,,36.806,14.7,8.926,61.725,,19.984,,0.187,,,4.288,0.0,,0.038,,,,,,,,,,,79.852,41.0,,,,,,0.332,,,52.161,,,13.041,1.905,53.13,52.477,0.966,,,,,,,,,,2.78,,47.211,,
928,CRI,Costa Rica,2008,4463123.0,OECD,,,,3.9,,,20.0,2.417,3.814,1.09,29.0,6.8,10.9,14.0,0.12,9.96,16.83,,70.9,99.1,89.0,,6.9,2.2,,9.2,,,58.016,,25.611,,,,83.6,,59.054,36.842,,97.52,95.464,78.799,36.436,99.264,91.7,0.765,50.039,,,,0.597,,,32.29,0.0,,0.108,0.388,,0.093,,,48.6,,,,,98.238,71.0,,,,,,1.79,,,48.613,,31.89,,47.62,41.083,49.881,0.832,,11.47,25.212,,,,,,185.027,9.952,,24.408,,
951,CIV,Cote d'Ivoire,2008,19605568.0,Sub-Saharan Africa,,,,22.1,,,7.2,2.086,1.735,0.914,694.0,40.6,114.2,219.0,1.47,25.56,25.45,,,,63.0,,,,,,,,34.069,,,,,,32.8,,63.785,8.867,,71.281,25.437,,,60.3,16.9,1.21,75.884,,6.368,,0.05,,,1.9,,,0.016,,,,,,43.2,,,,,67.204,,,,,,,0.336,,,97.901,,44.72,7.775,1.481,73.779,80.948,0.902,,,,,,,,,,4.945,,12.018,,
974,HRV,Croatia,2008,4352639.0,E. Europe & C. Asia,,,,2.5,,,20.7,2.393,6.639,0.602,9.0,3.8,5.9,26.0,0.02,20.09,15.74,,14.6,99.9,96.0,,,,,,83.052,97.42,98.878,,,,,,49.1,,74.673,20.915,,,96.322,,,100.0,100.0,1.786,16.633,,8.53,,0.755,,,44.24,3.642,,1.096,0.887,,,,,,,,,,,57.0,,,,,,5.422,,,20.846,,54.81,27.367,8.539,23.993,16.646,0.896,,1.63,28.602,,,,,,,10.762,,,,
