,Month,Measure,Inflation Index
182,2019-02,Transport,106.11
183,2019-02,All Items,103.06
184,2019-01,Train,100.27
185,2019-01,Transport Services,96.43
186,2019-01,Transport,105.14
187,2019-01,All Items,103.01
188,2018-12,Train,100.27
189,2018-12,Transport Services,102.46
190,2018-12,Transport,106.42
191,2018-12,All Items,103.47
192,2018-11,Train,100.34
193,2018-11,Transport Services,96.7
194,2018-11,Transport,106.26
195,2018-11,All Items,103.45
196,2018-10,Train,100.34
197,2018-10,Transport Services,100.05
198,2018-10,Transport,107.72
199,2018-10,All Items,103.67
200,2018-09,Train,100.34
201,2018-09,Transport Services,97.93
202,2018-09,Transport,106.61
203,2018-09,All Items,103.56
204,2018-08,Train,100.33
205,2018-08,Transport Services,109.82
206,2018-08,Transport,108.45
207,2018-08,All Items,103.78
208,2018-07,Train,100.33
209,2018-07,Transport Services,109.88
210,2018-07,Transport,108.3
211,2018-07,All Items,103.28
212,2018-06,Train,99.5
213,2018-06,Transport Services,100.39
214,2018-06,Transport,106.74
215,2018-06,All Items,103.37
216,2018-05,Train,99.85
217,2018-05,Transport Services,100.0
218,2018-05,Transport,106.47
219,2018-05,All Items,103.36
220,2018-04,Train,100.34
221,2018-04,Transport Services,102.79
222,2018-04,Transport,105.91
223,2018-04,All Items,102.92
224,2018-03,Train,100.34
225,2018-03,Transport Services,98.31
226,2018-03,Transport,104.51
227,2018-03,All Items,102.75
228,2018-02,Train,100.33
229,2018-02,Transport Services,98.58
230,2018-02,Transport,104.72
231,2018-02,All Items,101.72
232,2018-01,Train,100.34
233,2018-01,Transport Services,96.7
234,2018-01,Transport,104.27
235,2018-01,All Items,101.75
236,2017-12,Train,100.34
237,2017-12,Transport Services,102.01
238,2017-12,Transport,103.31
239,2017-12,All Items,101.85
240,2017-11,Train,100.34
241,2017-11,Transport Services,96.5
242,2017-11,Transport,102.16
243,2017-11,All Items,101.53
244,2017-10,Train,100.34
245,2017-10,Transport Services,99.65
246,2017-10,Transport,102.06
247,2017-10,All Items,101.43
248,2017-09,Train,100.34
249,2017-09,Transport Services,98.48
250,2017-09,Transport,101.56
251,2017-09,All Items,101.33
252,2017-08,Train,100.31
253,2017-08,Transport Services,107.82
254,2017-08,Transport,102.73
255,2017-08,All Items,101.49
256,2017-07,Train,100.07
257,2017-07,Transport Services,108.42
258,2017-07,Transport,102.44
259,2017-07,All Items,100.97
260,2017-06,Train,100.07
261,2017-06,Transport Services,99.8
262,2017-06,Transport,101.15
263,2017-06,All Items,101.32
264,2017-05,Train,99.27
265,2017-05,Transport Services,97.58
266,2017-05,Transport,101.19
267,2017-05,All Items,101.31
268,2017-04,Train,100.07
269,2017-04,Transport Services,101.64
270,2017-04,Transport,102.4
271,2017-04,All Items,101.26
272,2017-03,Train,100.07
273,2017-03,Transport Services,97.22
274,2017-03,Transport,101.51
275,2017-03,All Items,101.17
276,2017-02,Train,100.07
277,2017-02,Transport Services,98.12
278,2017-02,Transport,102.05
279,2017-02,All Items,100.53
280,2017-01,Train,100.06
281,2017-01,Transport Services,96.97
282,2017-01,Transport,101.67
283,2017-01,All Items,100.41
284,2016-12,Train,99.64
285,2016-12,Transport Services,100.89
286,2016-12,Transport,100.44
287,2016-12,All Items,100.65
288,2016-11,Train,99.11
289,2016-11,Transport Services,95.5
290,2016-11,Transport,99.28
291,2016-11,All Items,100.35
292,2016-10,Train,99.11
293,2016-10,Transport Services,98.1
294,2016-10,Transport,99.46
295,2016-10,All Items,100.37
296,2016-09,Train,99.81
297,2016-09,Transport Services,96.72
298,2016-09,Transport,98.79
299,2016-09,All Items,100.34
300,2016-08,Train,100.03
301,2016-08,Transport Services,104.43
302,2016-08,Transport,99.69
303,2016-08,All Items,100.58
304,2016-07,Train,99.77
305,2016-07,Transport Services,105.61
306,2016-07,Transport,100.72
