,Month,Measure,Inflation Index
910,2003-12,Transport,77.6
911,2003-12,All Items,85.23
912,2003-11,Train,73.76
913,2003-11,Transport Services,83.7
914,2003-11,Transport,77.4
915,2003-11,All Items,85.14
916,2003-10,Train,74.1
917,2003-10,Transport Services,84.4
918,2003-10,Transport,77.5
919,2003-10,All Items,85.04
920,2003-09,Train,74.1
921,2003-09,Transport Services,85.3
922,2003-09,Transport,77.3
923,2003-09,All Items,84.86
924,2003-08,Train,74.06
925,2003-08,Transport Services,87.3
926,2003-08,Transport,77.6
927,2003-08,All Items,84.54
928,2003-07,Train,74.06
929,2003-07,Transport Services,86.8
930,2003-07,Transport,77.3
931,2003-07,All Items,84.34
932,2003-06,Train,72.87
933,2003-06,Transport Services,84.0
934,2003-06,Transport,76.5
935,2003-06,All Items,84.43
936,2003-05,Train,72.22
937,2003-05,Transport Services,83.2
938,2003-05,Transport,76.7
939,2003-05,All Items,84.27
940,2003-04,Train,72.22
941,2003-04,Transport Services,83.4
942,2003-04,Transport,77.3
943,2003-04,All Items,84.37
944,2003-03,Train,72.2
945,2003-03,Transport Services,83.1
946,2003-03,Transport,77.9
947,2003-03,All Items,84.49
948,2003-02,Train,72.19
949,2003-02,Transport Services,83.4
950,2003-02,Transport,77.6
951,2003-02,All Items,84.15
952,2003-01,Train,72.19
953,2003-01,Transport Services,82.7
954,2003-01,Transport,76.9
955,2003-01,All Items,83.57
956,2002-12,Train,71.98
957,2002-12,Transport Services,82.5
958,2002-12,Transport,76.1
959,2002-12,All Items,83.41
960,2002-11,Train,71.74
961,2002-11,Transport Services,82.4
962,2002-11,Transport,76.1
963,2002-11,All Items,83.27
964,2002-10,Train,71.74
965,2002-10,Transport Services,82.1
966,2002-10,Transport,76.4
967,2002-10,All Items,83.27
968,2002-09,Train,71.73
969,2002-09,Transport Services,82.2
970,2002-09,Transport,76.1
971,2002-09,All Items,83.14
972,2002-08,Train,71.65
973,2002-08,Transport Services,84.8
974,2002-08,Transport,76.2
975,2002-08,All Items,82.99
976,2002-07,Train,70.26
977,2002-07,Transport Services,85.2
978,2002-07,Transport,75.9
979,2002-07,All Items,82.8
980,2002-06,Train,69.94
981,2002-06,Transport Services,80.2
982,2002-06,Transport,75.2
983,2002-06,All Items,82.8
984,2002-05,Train,69.63
985,2002-05,Transport Services,80.0
986,2002-05,Transport,75.6
987,2002-05,All Items,82.81
988,2002-04,Train,69.63
989,2002-04,Transport Services,80.1
990,2002-04,Transport,75.4
991,2002-04,All Items,82.71
992,2002-03,Train,69.63
993,2002-03,Transport Services,79.5
994,2002-03,Transport,74.6
995,2002-03,All Items,82.4
996,2002-02,Train,69.63
997,2002-02,Transport Services,79.6
998,2002-02,Transport,74.4
999,2002-02,All Items,82.04
1000,2002-01,Train,69.63
1001,2002-01,Transport Services,79.4
1002,2002-01,Transport,74.2
1003,2002-01,All Items,81.94
1004,2001-12,Train,69.83
1005,2001-12,Transport Services,81.5
1006,2001-12,Transport,74.2
1007,2001-12,All Items,81.56
1008,2001-11,Train,69.83
1009,2001-11,Transport Services,80.0
1010,2001-11,Transport,74.2
1011,2001-11,All Items,81.46
1012,2001-10,Train,69.81
1013,2001-10,Transport Services,80.3
1014,2001-10,Transport,74.7
1015,2001-10,All Items,81.68
1016,2001-09,Train,69.7
1017,2001-09,Transport Services,80.1
1018,2001-09,Transport,74.9
1019,2001-09,All Items,81.63
1020,2001-08,Train,68.51
1021,2001-08,Transport Services,81.7
1022,2001-08,Transport,75.0
1023,2001-08,All Items,81.48
1024,2001-07,Train,68.51
1025,2001-07,Transport Services,82.7
1026,2001-07,Transport,75.5
1027,2001-07,All Items,81.48
1028,2001-06,Train,68.5
1029,2001-06,Transport Services,78.6
1030,2001-06,Transport,75.5
1031,2001-06,All Items,81.65
1032,2001-05,Train,68.45
1033,2001-05,Transport Services,78.4
1034,2001-05,Transport,75.6
1035,2001-05,All Items,81.6
1036,2001-04,Train,68.45
1037,2001-04,Transport Services,78.7
1038,2001-04,Transport,74.8
1039,2001-04,All Items,81.1
1040,2001-03,Train,68.4
1041,2001-03,Transport Services,77.5
1042,2001-03,Transport,74.2
1043,2001-03,All Items,80.71
1044,2001-02,Train,68.38
1045,2001-02,Transport Services,78.2
1046,2001-02,Transport,74.3
1047,2001-02,All Items,80.35
1048,2001-01,Train,67.27
1049,2001-01,Transport Services,77.3
1050,2001-01,Transport,74.0
1051,2001-01,All Items,80.13
1052,2000-12,Train,67.12
1053,2000-12,Transport Services,78.0
1054,2000-12,Transport,75.1
1055,2000-12,All Items,80.47
1056,2000-11,Train,67.03
1057,2000-11,Transport Services,77.4
1058,2000-11,Transport,75.4
1059,2000-11,All Items,80.51
1060,2000-10,Train,67.03
1061,2000-10,Transport Services,77.2
1062,2000-10,Transport,75.2
1063,2000-10,All Items,80.33
1064,2000-09,Train,67.03
1065,2000-09,Transport Services,77.6
1066,2000-09,Transport,75.6
1067,2000-09,All Items,80.43
1068,2000-08,Train,67.03
1069,2000-08,Transport Services,78.3
1070,2000-08,Transport,74.7
1071,2000-08,All Items,80.02
1072,2000-07,Train,67.03
1073,2000-07,Transport Services,80.0
1074,2000-07,Transport,75.2
1075,2000-07,All Items,79.87
1076,2000-06,Train,67.03
1077,2000-06,Transport Services,77.8
1078,2000-06,Transport,74.7
1079,2000-06,All Items,80.0
1080,2000-05,Train,67.41
1081,2000-05,Transport Services,76.6
1082,2000-05,Transport,73.9
1083,2000-05,All Items,79.8
1084,2000-04,Train,67.45
1085,2000-04,Transport Services,76.7
1086,2000-04,Transport,73.8
1087,2000-04,All Items,79.64
1088,2000-03,Train,67.45
1089,2000-03,Transport Services,75.7
1090,2000-03,Transport,74.0
1091,2000-03,All Items,79.64
1092,2000-02,Train,67.45
1093,2000-02,Transport Services,75.7
1094,2000-02,Transport,73.6
1095,2000-02,All Items,79.27
1096,2000-01,Train,66.65
1097,2000-01,Transport Services,75.4
1098,2000-01,Transport,73.3
1099,2000-01,All Items,79.17
1100,1999-12,Train,66.32
1101,1999-12,Transport Services,76.6
1102,1999-12,Transport,73.0
1103,1999-12,All Items,79.17
1104,1999-11,Train,66.32
1105,1999-11,Transport Services,75.8
1106,1999-11,Transport,72.1
1107,1999-11,All Items,78.82
1108,1999-10,Train,66.32
1109,1999-10,Transport Services,76.4
1110,1999-10,Transport,72.1
1111,1999-10,All Items,78.79
1112,1999-09,Train,66.32
1113,1999-09,Transport Services,76.6
1114,1999-09,Transport,71.9
1115,1999-09,All Items,78.74
1116,1999-08,Train,66.32
1117,1999-08,Transport Services,78.1
1118,1999-08,Transport,71.8
1119,1999-08,All Items,78.61
1120,1999-07,Train,66.32
1121,1999-07,Transport Services,78.8
1122,1999-07,Transport,71.6
1123,1999-07,All Items,78.48
1124,1999-06,Train,66.32
1125,1999-06,Transport Services,76.3
1126,1999-06,Transport,71.0
1127,1999-06,All Items,78.69
1128,1999-05,Train,66.25
1129,1999-05,Transport Services,76.0
1130,1999-05,Transport,70.9
1131,1999-05,All Items,78.7
1132,1999-04,Train,66.25
1133,1999-04,Transport Services,76.2
1134,1999-04,Transport,70.8
1135,1999-04,All Items,78.69
1136,1999-03,Train,66.25
1137,1999-03,Transport Services,75.5
1138,1999-03,Transport,70.3
1139,1999-03,All Items,78.47
1140,1999-02,Train,66.25
1141,1999-02,Transport Services,75.6
1142,1999-02,Transport,70.2
1143,1999-02,All Items,78.21
1144,1999-01,Train,65.56
1145,1999-01,Transport Services,75.5
1146,1999-01,Transport,70.1
1147,1999-01,All Items,77.97
1148,1998-12,Train,65.43
1149,1998-12,Transport Services,75.8
1150,1998-12,Transport,70.1
1151,1998-12,All Items,78.19
1152,1998-11,Train,65.31
1153,1998-11,Transport Services,75.3
1154,1998-11,Transport,70.2
1155,1998-11,All Items,78.11
1156,1998-10,Train,65.31
1157,1998-10,Transport Services,76.0
1158,1998-10,Transport,70.3
1159,1998-10,All Items,78.16
1160,1998-09,Train,65.31
1161,1998-09,Transport Services,76.2
1162,1998-09,Transport,70.4
1163,1998-09,All Items,78.2
1164,1998-08,Train,65.31
1165,1998-08,Transport Services,77.5
1166,1998-08,Transport,70.7
1167,1998-08,All Items,78.23
1168,1998-07,Train,65.31
1169,1998-07,Transport Services,78.0
1170,1998-07,Transport,70.9
1171,1998-07,All Items,78.18
1172,1998-06,Train,65.31
1173,1998-06,Transport Services,75.8
1174,1998-06,Transport,70.5
1175,1998-06,All Items,78.44
1176,1998-05,Train,65.01
1177,1998-05,Transport Services,75.3
1178,1998-05,Transport,70.7
1179,1998-05,All Items,78.38
1180,1998-04,Train,66.4
1181,1998-04,Transport Services,75.8
1182,1998-04,Transport,70.9
1183,1998-04,All Items,78.36
1184,1998-03,Train,66.53
1185,1998-03,Transport Services,75.2
1186,1998-03,Transport,70.8
1187,1998-03,All Items,78.2
1188,1998-02,Train,66.53
1189,1998-02,Transport Services,75.4
1190,1998-02,Transport,71.1
1191,1998-02,All Items,78.07
1192,1998-01,Train,65.89
1193,1998-01,Transport Services,75.3
1194,1998-01,Transport,70.7
1195,1998-01,All Items,77.78
1196,1997-12,Train,65.7
1197,1997-12,Transport Services,75.2
1198,1997-12,Transport,70.7
1199,1997-12,All Items,78.02
1200,1997-11,Train,65.7
1201,1997-11,Transport Services,74.6
1202,1997-11,Transport,70.6
1203,1997-11,All Items,77.98
1204,1997-10,Train,65.7
1205,1997-10,Transport Services,74.8
1206,1997-10,Transport,70.7
1207,1997-10,All Items,77.85
1208,1997-09,Train,65.72
1209,1997-09,Transport Services,75.3
1210,1997-09,Transport,70.8
1211,1997-09,All Items,77.89
1212,1997-08,Train,65.58
1213,1997-08,Transport Services,76.3
1214,1997-08,Transport,70.8
1215,1997-08,All Items,77.75
1216,1997-07,Train,65.62
1217,1997-07,Transport Services,76.2
1218,1997-07,Transport,70.5
1219,1997-07,All Items,77.55
1220,1997-06,Train,65.72
1221,1997-06,Transport Services,74.4
1222,1997-06,Transport,70.3
1223,1997-06,All Items,77.65
1224,1997-05,Train,65.93
1225,1997-05,Transport Services,74.3
1226,1997-05,Transport,70.4
1227,1997-05,All Items,77.67
1228,1997-04,Train,65.93
1229,1997-04,Transport Services,74.3
1230,1997-04,Transport,70.6
1231,1997-04,All Items,77.56
1232,1997-03,Train,65.93
1233,1997-03,Transport Services,73.4
1234,1997-03,Transport,70.6
1235,1997-03,All Items,77.53
1236,1997-02,Train,65.93
1237,1997-02,Transport Services,73.4
1238,1997-02,Transport,70.6
1239,1997-02,All Items,77.47
1240,1997-01,Train,65.1
1241,1997-01,Transport Services,73.2
1242,1997-01,Transport,70.5
1243,1997-01,All Items,77.31
1244,1996-12,Train,64.9
1245,1996-12,Transport Services,73.3
1246,1996-12,Transport,70.3
1247,1996-12,All Items,77.14
1248,1996-11,Train,65.32
1249,1996-11,Transport Services,72.7
1250,1996-11,Transport,70.1
1251,1996-11,All Items,76.98
1252,1996-10,Train,65.32
1253,1996-10,Transport Services,73.4
1254,1996-10,Transport,70.7
1255,1996-10,All Items,77.05
1256,1996-09,Train,65.6
1257,1996-09,Transport Services,73.6
1258,1996-09,Transport,70.1
1259,1996-09,All Items,76.85
1260,1996-08,Train,65.31
1261,1996-08,Transport Services,73.7
1262,1996-08,Transport,69.9
1263,1996-08,All Items,76.62
1264,1996-07,Train,65.31
1265,1996-07,Transport Services,74.5
1266,1996-07,Transport,70.2
1267,1996-07,All Items,76.77
1268,1996-06,Train,65.62
1269,1996-06,Transport Services,72.7
1270,1996-06,Transport,70.0
1271,1996-06,All Items,76.91
1272,1996-05,Train,65.65
1273,1996-05,Transport Services,72.3
1274,1996-05,Transport,70.0
1275,1996-05,All Items,77.0
1276,1996-04,Train,65.65
1277,1996-04,Transport Services,72.4
1278,1996-04,Transport,69.8
1279,1996-04,All Items,76.84
1280,1996-03,Train,65.65
1281,1996-03,Transport Services,72.2
1282,1996-03,Transport,69.6
1283,1996-03,All Items,76.75
1284,1996-02,Train,65.65
1285,1996-02,Transport Services,72.3
1286,1996-02,Transport,69.1
1287,1996-02,All Items,76.26
1288,1996-01,Train,64.63
1289,1996-01,Transport Services,71.6
1290,1996-01,Transport,68.8
1291,1996-01,All Items,75.97
