Period,Total pay (nominal),Regular pay (nominal),Total pay (real),Regular pay (real)
Jan to Mar 2011,2.7,2,-0.6,-1.4
Feb to Apr 2011,2.4,2,-1.5,-1.6
Mar to May 2011,2.3,2,-1.5,-1.6
Apr to Jun 2011,2.4,2.1,-1.3,-1.6
May to Jul 2011,2.7,2,-1.2,-1.8
Jun to Aug 2011,2.6,1.7,-1.3,-2
Jul to Sep 2011,2.2,1.6,-1.9,-2.4
Aug to Oct 2011,1.9,1.7,-2.3,-2.4
Sep to Nov 2011,1.9,1.8,-2.3,-2.4
Oct to Dec 2011,1.9,1.9,-2,-2.1
Nov to Jan 2012,1.4,1.6,-2.1,-2
Dec to Feb 2012,1,1.5,-2,-1.7
Jan to Mar 2012,0.7,1.5,-2.3,-1.6
Feb to Apr 2012,1.2,1.7,-1.7,-1.2
Mar to May 2012,1.4,1.7,-1.4,-1
Apr to Jun 2012,1.5,1.8,-1,-0.8
May to Jul 2012,1.4,1.8,-1,-0.6
Jun to Aug 2012,1.6,2,-0.8,-0.4
Jul to Sep 2012,1.8,1.8,-0.5,-0.4
Aug to Oct 2012,1.7,1.6,-0.5,-0.6
Sep to Nov 2012,1.5,1.4,-0.8,-0.8
Oct to Dec 2012,1.2,1.3,-1,-1.1
Nov to Jan 2013,1.3,1.2,-1,-1.2
Dec to Feb 2013,1.2,1,-1.1,-1.4
Jan to Mar 2013,0.7,0.8,-1.7,-1.6
Feb to Apr 2013,1.4,0.9,-1,-1.5
Mar to May 2013,1.6,0.9,-0.9,-1.4
Apr to Jun 2013,2,1,-0.4,-1.4
May to Jul 2013,1.1,0.9,-1.3,-1.5
Jun to Aug 2013,0.7,0.7,-1.6,-1.7
Jul to Sep 2013,0.7,0.7,-1.6,-1.7
Aug to Oct 2013,0.8,0.7,-1.4,-1.6
Sep to Nov 2013,0.8,0.7,-1.2,-1.4
Oct to Dec 2013,1,0.9,-0.9,-1
Nov to Jan 2014,1.2,1.1,-0.6,-0.7
Dec to Feb 2014,1.7,1.3,-0.1,-0.5
Jan to Mar 2014,1.6,1.1,0,-0.5
Feb to Apr 2014,0.6,0.7,-1,-0.9
Mar to May 2014,0,0.6,-1.6,-1
Apr to Jun 2014,-0.1,0.5,-1.7,-1.1
May to Jul 2014,0.4,0.6,-1.2,-1
Jun to Aug 2014,0.6,0.8,-1,-0.9
Jul to Sep 2014,0.9,1.1,-0.6,-0.4
Aug to Oct 2014,1.4,1.5,0,0.1
Sep to Nov 2014,1.7,1.7,0.5,0.5
Oct to Dec 2014,2,1.6,1,0.6
Nov to Jan 2015,1.9,1.5,1.1,0.7
Dec to Feb 2015,1.7,1.8,1.2,1.2
Jan to Mar 2015,2.3,2.2,1.9,1.8
Feb to Apr 2015,2.7,2.6,2.3,2.2
Mar to May 2015,3.1,2.7,2.7,2.4
Apr to Jun 2015,2.5,2.7,2.1,2.4
May to Jul 2015,2.8,2.8,2.4,2.4
Jun to Aug 2015,3,2.7,2.6,2.3
Jul to Sep 2015,2.9,2.4,2.6,2.1
Aug to Oct 2015,2.4,2,2.1,1.7
Sep to Nov 2015,2,1.9,1.7,1.6
Oct to Dec 2015,1.9,1.9,1.5,1.5
Nov to Jan 2016,2.2,2.2,1.6,1.6
Dec to Feb 2016,2,2.2,1.4,1.6
Jan to Mar 2016,2.3,2.3,1.5,1.6
Feb to Apr 2016,2.2,2.3,1.4,1.6
Mar to May 2016,2.5,2.2,1.7,1.4
Apr to Jun 2016,2.5,2.3,1.7,1.5
May to Jul 2016,2.5,2.2,1.7,1.4
Jun to Aug 2016,2.4,2.3,1.5,1.4
Jul to Sep 2016,2.4,2.4,1.4,1.3
Aug to Oct 2016,2.4,2.5,1.3,1.3
Sep to Nov 2016,2.7,2.6,1.3,1.2
Oct to Dec 2016,2.5,2.5,0.9,1
Nov to Jan 2017,2.1,2.3,0.4,0.6
Dec to Feb 2017,2.1,2,0.1,0
Jan to Mar 2017,2.2,1.8,0,-0.4
Feb to Apr 2017,2.2,1.8,-0.2,-0.6
Mar to May 2017,2,2,-0.5,-0.5
Apr to Jun 2017,2.3,2.1,-0.3,-0.4
May to Jul 2017,2.2,2.2,-0.4,-0.3
Jun to Aug 2017,2.3,2.1,-0.3,-0.4
Jul to Sep 2017,2.3,2.2,-0.4,-0.4
Aug to Oct 2017,2.5,2.3,-0.2,-0.4
Sep to Nov 2017,2.5,2.3,-0.3,-0.4
Oct to Dec 2017,2.6,2.4,-0.2,-0.3
Nov to Jan 2018,2.7,2.5,-0.1,-0.2
Dec to Feb 2018,2.8,2.8,0.2,0.1
Jan to Mar 2018,2.9,2.9,0.3,0.3
Feb to Apr 2018,2.7,2.9,0.4,0.5
Mar to May 2018,2.6,2.8,0.4,0.5
Apr to Jun 2018,2.2,2.7,0,0.4
May to Jul 2018,2.6,2.9,0.3,0.5
Jun to Aug 2018,2.8,3.1,0.5,0.7
Jul to Sep 2018,3.1,3.2,0.8,0.9
Aug to Oct 2018,3.4,3.3,1.1,1
Sep to Nov 2018,3.4,3.4,1.2,1.1
Oct to Dec 2018,3.5,3.4,1.4,1.2
Nov to Jan 2019,3.3,3.5,1.4,1.4
Dec to Feb 2019,3.5,3.4,1.6,1.5
Jan to Mar 2019,3.3,3.3,1.4,1.5
Feb to Apr 2019,3.4,3.4,1.4,1.5
Mar to May 2019,3.5,3.6,1.5,1.7
Apr to Jun 2019,3.9,3.9,2,2
May to Jul 2019,3.9,3.9,2,2
Jun to Aug 2019,3.7,3.8,1.8,1.9
Jul to Sep 2019,3.8,3.6,2,1.8
Aug to Oct 2019,3.3,3.5,1.6,1.7
Sep to Nov 2019,3.2,3.3,1.6,1.7
Oct to Dec 2019,2.7,3.2,1.3,1.7
Nov to Jan 2020,2.9,3,1.4,1.5
Dec to Feb 2020,2.8,2.9,1.2,1.3
Jan to Mar 2020,2.5,2.7,0.7,1
Feb to Apr 2020,1.1,1.7,-0.4,0.4
Mar to May 2020,-0.3,0.7,-1.4,-0.3
Apr to Jun 2020,-1.3,-0.2,-2.1,-0.9
May to Jul 2020,-1,0.2,-1.8,-0.6
Jun to Aug 2020,0.1,0.9,-0.7,0.2
Jul to Sep 2020,1.3,2,0.5,1.2
Aug to Oct 2020,2.6,2.8,2,2.1
Sep to Nov 2020,3.7,3.6,3,2.8
Oct to Dec 2020,4.6,4,3.9,3.3
Nov to Jan 2021,4.9,4.2,4.1,3.5
Dec to Feb 2021,4.5,4.4,3.7,3.5
Jan to Mar 2021,3.9,4.6,3.3,3.6
Feb to Apr 2021,5.5,5.7,4.6,4.4
Mar to May 2021,7.4,6.6,5.9,5
Apr to Jun 2021,9.2,7.3,7.1,5.3
May to Jul 2021,8.6,6.8,6.2,4.6
Jun to Aug 2021,7.2,6,4.7,3.4
Jul to Sept 2021,5.9,5,3.2,2.2
Aug to Oct 2021,4.9,4.3,1.7,1
Sept to Nov 2021,4.2,3.8,0.5,0
Oct to Dec 2021,4.6,3.7,0.2,-0.7
Nov to Jan 2022,4.9,3.8,0.2,-0.9
Dec to Feb 2022,5.6,4.1,0.6,-1
Jan to Mar 2022,7,4.2,1.4,-1.2
Feb to Apr 2022,6.9,4.2,0.4,-2.2
Mar to May 2022,6.4,4.4,-0.8,-2.6
Apr to Jun 2022,5.2,4.7,-2.5,-3
May to July 2022,5.5,5.2,-2.5,-2.8
Jun to Aug 2022,6,5.4,-2.4,-2.9
