,Date,Region,level_2,Value
104,2011-05-01,2.0,Overall Inflation,0.4687742
105,2011-05-01,2.0,Services Inflation,0.6945119
106,2011-06-01,2.0,Overall Inflation,0.4639058
107,2011-06-01,2.0,Services Inflation,0.7323133
108,2011-07-01,2.0,Overall Inflation,0.4836803
109,2011-07-01,2.0,Services Inflation,0.7195975
110,2011-08-01,2.0,Overall Inflation,0.517341
111,2011-08-01,2.0,Services Inflation,0.7061103
112,2011-09-01,2.0,Overall Inflation,0.572357
113,2011-09-01,2.0,Services Inflation,0.7480066
114,2011-10-01,2.0,Overall Inflation,0.5972539
115,2011-10-01,2.0,Services Inflation,0.7964659
116,2011-11-01,2.0,Overall Inflation,0.6376775
117,2011-11-01,2.0,Services Inflation,0.7776427
118,2011-12-01,2.0,Overall Inflation,0.6087749
119,2011-12-01,2.0,Services Inflation,0.7985237
120,2012-01-01,2.0,Overall Inflation,0.3832857
121,2012-01-01,2.0,Services Inflation,0.7778723
122,2012-02-01,2.0,Overall Inflation,0.4635628
123,2012-02-01,2.0,Services Inflation,0.7734516
124,2012-03-01,2.0,Overall Inflation,0.4719287
125,2012-03-01,2.0,Services Inflation,0.769044
126,2012-04-01,2.0,Overall Inflation,0.4820306
127,2012-04-01,2.0,Services Inflation,0.8135883
128,2012-05-01,2.0,Overall Inflation,0.5119357
129,2012-05-01,2.0,Services Inflation,0.8109859
130,2012-06-01,2.0,Overall Inflation,0.4795973
131,2012-06-01,2.0,Services Inflation,0.8513903
132,2012-07-01,2.0,Overall Inflation,0.4863814
133,2012-07-01,2.0,Services Inflation,0.8459942
134,2012-08-01,2.0,Overall Inflation,0.5008109
135,2012-08-01,2.0,Services Inflation,0.8667462
136,2012-09-01,2.0,Overall Inflation,0.5511153
137,2012-09-01,2.0,Services Inflation,0.8939131
138,2012-10-01,2.0,Overall Inflation,0.5877007
139,2012-10-01,2.0,Services Inflation,0.932026
140,2012-11-01,2.0,Overall Inflation,0.595059
141,2012-11-01,2.0,Services Inflation,0.9245313
142,2012-12-01,2.0,Overall Inflation,0.5798001
143,2012-12-01,2.0,Services Inflation,0.9156954
144,2013-01-01,2.0,Overall Inflation,0.5543575
145,2013-01-01,2.0,Services Inflation,0.8948295
146,2013-02-01,2.0,Overall Inflation,0.6459212
147,2013-02-01,2.0,Services Inflation,1.017807
148,2013-03-01,2.0,Overall Inflation,0.68508
149,2013-03-01,2.0,Services Inflation,0.9804365
150,2013-04-01,2.0,Overall Inflation,0.6953595
151,2013-04-01,2.0,Services Inflation,0.9331293
152,2013-05-01,2.0,Overall Inflation,0.7215859
153,2013-05-01,2.0,Services Inflation,1.037873
154,2013-06-01,2.0,Overall Inflation,0.6681967
155,2013-06-01,2.0,Services Inflation,1.002928
156,2013-07-01,2.0,Overall Inflation,0.6684659
157,2013-07-01,2.0,Services Inflation,1.011852
158,2013-08-01,2.0,Overall Inflation,0.6883839
159,2013-08-01,2.0,Services Inflation,1.016194
160,2013-09-01,2.0,Overall Inflation,0.7234028
161,2013-09-01,2.0,Services Inflation,1.015772
162,2013-10-01,2.0,Overall Inflation,0.7372743
163,2013-10-01,2.0,Services Inflation,0.9976473
164,2013-11-01,2.0,Overall Inflation,0.7539916
165,2013-11-01,2.0,Services Inflation,0.9966152
166,2013-12-01,2.0,Overall Inflation,0.7624293
167,2013-12-01,2.0,Services Inflation,1.068573
168,2014-01-01,2.0,Overall Inflation,0.7133799
169,2014-01-01,2.0,Services Inflation,1.034447
170,2014-02-01,2.0,Overall Inflation,0.7070021
171,2014-02-01,2.0,Services Inflation,1.036622
172,2014-03-01,2.0,Overall Inflation,0.7038034
173,2014-03-01,2.0,Services Inflation,1.046445
174,2014-04-01,2.0,Overall Inflation,0.6891831
175,2014-04-01,2.0,Services Inflation,1.046674
176,2014-05-01,2.0,Overall Inflation,0.7193211
177,2014-05-01,2.0,Services Inflation,1.061202
178,2014-06-01,2.0,Overall Inflation,0.7316414
179,2014-06-01,2.0,Services Inflation,1.084164
180,2014-07-01,2.0,Overall Inflation,0.6518366
181,2014-07-01,2.0,Services Inflation,1.092982
182,2014-08-01,2.0,Overall Inflation,0.6906044
183,2014-08-01,2.0,Services Inflation,1.043024
184,2014-09-01,2.0,Overall Inflation,0.7260303
185,2014-09-01,2.0,Services Inflation,0.9861481
186,2014-10-01,2.0,Overall Inflation,0.7354446
